Console output now writes to BlvsODTest.txt and can be found at /home/pi/Chromostat/BlvsODTest.txt

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r or run
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v or view
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete
To set integration time type int
To change time inbetween measurements, type interval


Current settings are the following:

Currently saving output to: /home/pi/Chromostat/BlvsODTest.txt
Gain value is: 0
Integration Time is 1000.0 m/s
Time between measurements is 60000 m/s

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r or run
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v or view
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete
To set integration time type int
To change time inbetween measurements, type interval


Mode  Time  Red  Green  Blue
T     374     1385   1881   2060
T     375     1384   1879   2057
T     376     1389   1884   2062
T     377     1339   1835   2013
T     378     1390   1886   2062
T     379     1388   1883   2060
T     380     1391   1887   2064
T     381     1350   1847   2022
T     382     1406   1904   2077
T     383     1409   1907   2080
T     384     1394   1892   2067
T     385     1359   1858   2033
T     386     1376   1876   2048
T     387     1423   1923   2093
T     388     1390   1886   2062
T     389     1420   1919   2089
T     390     1362   1861   2035
T     391     1402   1900   2072
T     392     1385   1881   2058
T     393     1387   1882   2060
T     394     1361   1857   2035
T     395     1381   1884   2053
T     396     1406   1905   2078
T     397     1405   1901   2076
T     398     1424   1921   2091
T     399     1392   1887   2064
T     400     1409   1907   2081
T     401     1384   1878   2057
T     402     1399   1896   2072
T     403     1372   1870   2046
T     404     1346   1844   2020
T     405     1416   1913   2085
T     406     1403   1899   2074
T     407     1383   1878   2056
T     408     1361   1859   2031
T     409     1375   1872   2048
T     410     1396   1893   2069
T     411     1386   1882   2059
T     412     1394   1894   2066
T     413     1343   1840   2017
T     414     1394   1892   2067
T     415     1387   1883   2061
T     416     1412   1909   2082
T     417     1375   1873   2045
T     418     1416   1915   2087
T     419     1412   1909   2082
T     420     1395   1891   2067
T     421     1438   1938   2104
T     422     1418   1915   2085
T     423     1387   1882   2060
T     424     1394   1891   2066
T     425     1415   1911   2083
T     426     1354   1851   2024
T     427     1412   1911   2083
T     428     1410   1908   2079
T     429     1384   1879   2057
T     430     1363   1863   2035
T     431     1387   1888   2057
T     432     1396   1891   2065
T     433     1392   1886   2063
T     434     1371   1867   2042
T     435     1371   1870   2040
T     436     1394   1889   2064
T     437     1395   1891   2066
T     438     1426   1924   2093
T     439     1375   1873   2043
T     440     1381   1874   2050
T     441     1433   1931   2097
T     442     1388   1882   2058
T     443     1368   1868   2037
T     444     1391   1889   2060
T     445     1409   1906   2076
T     446     1392   1886   2061
T     447     1354   1851   2024
T     448     1419   1913   2083
T     449     1405   1899   2071
T     450     1397   1892   2065
T     451     1382   1879   2046
T     452     1415   1911   2079
T     453     1411   1906   2074
T     454     1387   1880   2055
T     455     1392   1887   2060
T     456     1384   1878   2054
T     457     1421   1916   2083
T     458     1395   1888   2062
T     459     1389   1883   2057
T     460     1389   1882   2056
