Console output now writes to ColorDTest.txt and can be found at /home/pi/Chromostat/ColorDTest.txt

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete


Mode  Time  Red  Green  Blue
T     509     47   1475   1355
T     510     46   1475   1354
T     511     51   1480   1362
T     512     47   1476   1354
T     513     47   1475   1355
T     514     46   1476   1354
T     515     46   1475   1354
T     516     46   1474   1353
T     517     46   1475   1354
T     518     46   1474   1354
T     519     47   1475   1353
T     520     53   1484   1368
T     521     47   1475   1354
T     522     51   1481   1362
T     523     46   1474   1353
T     524     53   1483   1365
T     525     47   1475   1353
T     526     53   1483   1367
T     527     46   1475   1353
T     528     47   1476   1354
T     529     46   1476   1354
T     530     47   1475   1353
T     531     46   1476   1353
T     532     47   1476   1353
T     533     46   1475   1353
T     534     46   1475   1353
T     535     54   1484   1368
T     536     46   1475   1354
T     537     52   1482   1365
T     538     46   1475   1354
T     539     47   1476   1357
T     540     46   1475   1354
T     541     52   1483   1364
T     542     47   1475   1353
T     543     46   1474   1352
T     544     46   1475   1353
T     545     46   1475   1354
T     546     46   1475   1354
T     547     46   1475   1354
T     548     52   1483   1366
T     549     46   1475   1354
T     550     50   1479   1361
T     551     45   1474   1353
T     552     53   1484   1367
T     553     46   1474   1353
T     554     46   1475   1354
T     555     46   1474   1353
T     556     47   1475   1354
T     557     46   1474   1353
T     558     45   1474   1353
T     559     48   1476   1357
T     560     46   1475   1354
T     561     46   1475   1354
T     562     46   1475   1353
T     563     53   1484   1367
T     564     46   1474   1353
T     565     48   1477   1357
T     566     45   1474   1353
T     567     46   1474   1353
T     568     46   1474   1352
T     569     53   1484   1366
T     570     46   1475   1353
T     571     53   1482   1365
T     572     46   1475   1352
T     573     46   1475   1352
T     574     46   1474   1352
T     575     46   1474   1352
T     576     46   1475   1354
T     577     45   1474   1351
T     578     48   1477   1356
T     579     46   1474   1353
T     580     53   1483   1367
T     581     46   1475   1353
T     582     52   1482   1365
T     583     46   1474   1352
T     584     46   1473   1353
T     585     46   1475   1352
T     586     46   1475   1352
T     587     46   1474   1353
T     588     45   1474   1352
T     589     51   1480   1363
T     590     46   1473   1353
T     591     51   1479   1363
T     592     45   1473   1352
T     593     47   1477   1355
T     594     46   1474   1353
T     595     46   1474   1352
T     596     45   1474   1353
T     597     45   1474   1353
T     598     46   1474   1355
T     599     46   1474   1353
T     600     51   1480   1364
T     601     45   1473   1352
T     602     53   1483   1365
T     603     45   1474   1352
T     604     46   1474   1352
T     605     45   1473   1351
T     606     48   1477   1358
T     607     45   1473   1352
T     608     46   1473   1352
T     609     46   1475   1354
T     610     45   1473   1352
T     611     45   1473   1352
T     612     45   1473   1353
T     613     47   1474   1355
T     614     45   1473   1353
T     615     53   1482   1367
T     616     46   1474   1353
T     617     50   1479   1363
T     618     45   1472   1353
T     619     52   1482   1366
T     620     45   1471   1353
T     621     52   1482   1368
T     622     45   1472   1353
T     623     51   1480   1365
T     624     45   1471   1352
T     625     46   1473   1355
T     626     45   1472   1353
T     627     53   1482   1367
T     628     45   1473   1353
T     629     49   1478   1360
T     630     45   1472   1353
T     631     46   1473   1355
T     632     45   1473   1354
T     633     53   1482   1367
T     634     45   1472   1354
T     635     48   1476   1360
T     636     45   1473   1354
T     637     45   1472   1353
T     638     45   1471   1354
T     639     45   1472   1353
T     640     45   1471   1354
T     641     45   1471   1354
T     642     45   1471   1353
T     643     45   1472   1354
T     644     45   1471   1354
T     645     45   1472   1354
T     646     46   1472   1355
T     647     45   1472   1354
T     648     42   1464   1375
T     649     45   1471   1353
T     650     46   1473   1356
T     651     45   1472   1355
T     652     44   1472   1353
T     653     45   1473   1354
T     654     48   1476   1360
T     655     45   1472   1354
T     656     44   1471   1353
T     657     44   1471   1353
T     658     44   1471   1352
T     659     45   1472   1353
T     660     45   1472   1353
T     661     45   1472   1354
T     662     45   1472   1353
T     663     51   1480   1365
T     664     44   1471   1353
